,h,e,x,a,c,o
50,2.8125,2.6875,2.9375,2.4375,2.4375,3.5
51,2.4375,2.9375,1.8125,2.0625,2.0625,3.0
52,2.0,2.75,2.4375,2.625,2.875,2.4375
53,2.0,2.6875,2.375,2.5,2.75,2.0
54,2.0,3.0,2.375,2.875,2.0,2.1875
55,2.375,2.0,2.8125,2.125,2.1875,2.5
56,1.75,3.125,2.125,2.875,2.3125,3.0
57,2.4375,3.0625,2.4375,1.625,2.4375,3.0
58,2.9375,1.875,2.75,1.9375,2.3125,2.5
59,2.375,2.3125,2.25,2.125,3.125,2.1875
60,1.8125,2.625,2.375,3.1875,2.9375,2.4375
61,1.625,2.9375,3.25,2.6875,2.75,2.3125
62,2.0,2.25,2.875,2.0625,2.3125,2.625
63,2.1875,2.0625,2.875,2.3125,2.5625,2.8125
64,2.3125,2.5,2.875,2.125,2.5625,2.4375
65,2.25,2.9375,2.1875,2.1875,2.1875,2.375
66,1.9375,2.25,2.875,2.5,2.5,2.0
67,2.25,3.0,2.8125,2.75,3.0,3.0
68,2.5625,2.375,2.0,1.6875,2.5,2.1875
69,2.625,2.25,2.125,2.125,2.5,2.5
70,2.5625,3.0,2.1875,2.75,3.0,1.8125
71,2.4375,2.5625,2.9375,2.8125,2.8125,2.6875
72,2.5625,2.875,2.5625,2.75,2.3125,2.5625
73,2.625,3.0,3.0,1.9375,2.375,2.8125
74,1.9375,2.4375,3.3125,2.4375,2.5625,3.1875
75,2.6875,2.25,3.0,2.6875,3.1875,2.375
76,2.375,2.25,2.0625,2.5,2.25,2.625
77,2.5,2.8125,2.875,3.0,2.3125,2.8125
78,2.75,2.4375,1.9375,3.0,3.0625,2.5
79,2.5,2.375,3.1875,2.0625,3.0,3.25
80,2.3125,2.5,2.375,2.3125,2.875,2.5
81,2.125,2.625,2.8125,2.5,2.6875,2.4375
82,2.4375,2.0625,3.125,2.625,2.625,2.9375
83,1.6875,2.75,2.0,2.5,2.4375,2.6875
84,2.125,2.875,2.625,2.625,2.875,2.9375
85,3.0625,3.1875,2.5625,2.4375,1.8125,2.25
86,3.0625,3.25,1.9375,2.3125,1.75,2.375
87,2.5625,2.8125,2.9375,2.5625,2.75,2.125
88,2.375,2.25,2.625,2.4375,1.875,2.25
89,2.5,3.0,2.5,2.3125,2.125,2.6875
90,2.75,2.125,1.9375,2.1875,2.625,3.3125
91,2.25,3.125,2.6875,2.4375,2.375,2.5
92,2.1875,2.6875,2.1875,2.9375,2.5625,2.5625
93,2.0625,3.125,2.6875,2.6875,2.3125,2.5625
94,1.75,2.875,2.8125,1.8125,2.125,2.5625
95,2.5625,2.6875,2.625,2.25,2.5625,2.625
96,2.8125,2.1875,1.9375,1.5,2.875,2.5625
97,2.3125,2.125,2.875,3.0,2.375,2.5625
98,2.5625,2.5625,2.5,2.6875,2.8125,2.5625
99,2.4375,3.125,2.5625,2.625,2.8125,2.1875
100,1.875,2.9375,2.4375,2.4375,1.75,1.9375
101,2.8125,2.4375,3.0625,2.25,2.4375,2.125
102,2.3125,2.875,2.6875,2.3125,2.6875,1.9375
103,2.0625,2.625,3.0625,2.6875,2.4375,3.125
104,2.1875,2.75,2.0625,2.5625,2.625,2.0625
105,2.6875,2.5625,2.25,2.625,2.625,2.0
106,2.375,2.625,2.625,2.875,2.4375,3.125
107,2.4375,2.6875,2.5,2.125,2.375,2.3125
108,2.1875,2.0625,2.625,2.5625,3.25,2.6875
109,2.4375,2.75,2.625,2.875,2.6875,2.6875
110,2.5625,2.375,2.5,2.0,2.125,2.3125
111,2.4375,2.375,2.375,2.4375,2.125,3.0625
112,2.4375,3.3125,3.0,2.4375,2.6875,2.3125
113,1.9375,2.5625,2.8125,2.6875,2.9375,2.3125
114,2.9375,2.5,2.25,2.0625,2.75,2.0625
115,2.3125,2.1875,2.625,2.4375,2.6875,2.5625
116,2.0,2.9375,2.125,2.4375,1.8125,2.5
117,3.25,2.5,2.3125,1.8125,2.5625,2.0625
118,2.5625,2.9375,2.75,2.25,3.0,2.25
119,2.5625,2.875,2.25,2.75,2.5625,2.5625
120,2.1875,2.4375,2.4375,2.6875,2.25,2.5625
121,2.3125,2.5625,2.625,2.0625,2.5,3.1875
122,1.625,2.25,2.375,2.3125,2.25,2.9375
123,2.1875,3.1875,2.3125,2.375,2.1875,2.3125
124,2.125,2.75,2.375,2.25,2.5625,2.0625
125,2.8125,2.25,2.5625,2.75,2.375,2.4375
126,1.5625,2.125,2.1875,2.125,3.125,2.625
127,2.5,2.75,2.875,2.875,2.1875,3.1875
128,1.875,2.4375,1.8125,2.375,2.6875,2.5
129,2.25,2.125,2.125,2.6875,2.25,2.6875
130,2.9375,2.875,2.75,2.125,1.6875,3.0625
131,2.125,2.75,2.125,2.25,2.0625,2.625
132,2.1875,1.375,2.8125,3.1875,3.0,2.5
133,2.625,2.0,2.625,2.75,2.75,2.1875
134,2.3125,2.5,3.125,3.1875,2.625,2.6875
135,2.8125,2.9375,2.3125,2.1875,3.25,2.5625
136,1.8125,2.375,2.3125,2.4375,2.3125,2.125
137,3.25,3.0625,2.0,2.25,2.9375,2.5625
138,2.1875,2.3125,2.5,2.8125,2.0,1.875
139,2.4375,3.0625,3.0625,2.8125,2.4375,2.75
140,1.9375,2.6875,2.25,2.4375,2.9375,2.8125
141,2.8125,2.25,2.5625,2.4375,3.0625,2.9375
142,2.25,3.0625,1.8125,2.875,2.375,2.375
143,2.4375,2.6875,2.75,3.0,2.875,2.75
144,1.6875,2.625,2.625,3.0,1.9375,2.9375
145,2.1875,2.75,2.125,2.75,3.1875,2.6875
146,2.1875,2.1875,2.5,3.125,2.9375,2.0625
147,2.5625,2.0625,3.0625,2.5,2.875,3.0
148,2.125,2.1875,2.5,2.3125,2.625,1.875
149,2.4375,2.0625,2.0625,2.75,2.4375,2.1875
150,3.125,3.0,2.5625,1.875,2.375,2.625
151,2.4375,2.75,2.5625,2.8125,2.625,2.625
152,2.4375,2.8125,2.4375,1.9375,2.25,2.625
153,2.6875,2.8125,2.875,2.9375,1.8125,2.1875
154,2.3125,2.0,1.8125,2.375,2.9375,2.8125
155,2.5625,2.3125,3.1875,2.375,2.1875,2.25
156,1.9375,2.5,2.375,2.625,2.125,2.75
157,2.4375,2.4375,2.5625,3.0,2.0625,2.75
158,2.75,2.75,2.6875,2.625,2.375,2.3125
159,3.0625,1.9375,2.1875,2.625,2.25,2.625
160,1.8125,2.375,2.25,2.8125,1.5625,2.75
161,2.4375,3.125,2.3125,2.75,2.6875,2.75
162,2.5,2.3125,2.875,2.875,2.8125,2.9375
163,2.1875,2.8125,2.75,2.5625,2.5,2.0625
164,2.4375,2.5,2.0,3.125,2.375,2.375
165,2.4375,2.25,2.9375,2.3125,2.625,2.3125
166,2.5625,2.375,2.8125,2.5625,3.1875,2.6875
167,2.5,2.5625,3.3125,1.9375,3.125,3.0
168,2.375,2.0625,2.375,2.1875,2.375,2.875
169,1.8125,2.875,2.625,2.625,2.1875,2.8125
170,1.8125,2.5,2.4375,2.1875,1.875,2.4375
171,2.125,2.6875,2.5,3.0,2.3125,2.1875
172,3.0625,2.4375,2.4375,2.5625,2.375,2.375
173,2.5625,2.25,2.6875,2.125,1.6875,2.3125
174,2.5625,2.25,2.25,2.25,2.875,2.375
175,2.4375,2.3125,2.875,2.6875,3.125,2.125
176,2.6875,2.0,2.4375,2.9375,2.75,2.1875
177,1.9375,2.5625,2.25,2.1875,2.8125,2.5625
178,2.3125,2.4375,2.375,2.4375,2.5625,3.0
179,2.5,3.1875,2.5,1.6875,2.8125,2.4375
180,2.125,2.0625,2.3125,2.3125,2.75,2.8125
181,2.875,2.625,2.625,2.125,2.125,2.9375
182,2.5625,2.8125,2.0625,2.375,2.3125,2.6875
183,2.25,2.4375,2.625,2.875,2.8125,2.5
184,2.125,2.3125,2.3125,2.375,2.25,1.9375
185,2.4375,2.5,2.1875,2.125,2.5625,2.625
186,2.625,2.9375,2.5,2.8125,2.5625,1.875
187,2.3125,3.125,2.125,2.375,2.6875,2.125
188,2.25,2.4375,3.0625,2.875,2.4375,2.1875
189,2.75,2.75,2.0625,2.3125,3.0,2.6875
190,2.5,2.5,2.8125,2.4375,1.8125,2.375
191,2.0625,2.875,2.9375,2.1875,2.5,2.125
192,2.3125,2.4375,2.4375,2.5625,2.1875,2.5
193,2.375,2.625,2.5,2.125,2.75,1.9375
194,2.0625,2.5,3.0625,2.3125,2.9375,2.5625
195,1.75,3.0625,2.625,2.3125,2.25,2.8125
196,1.9375,2.4375,2.875,2.625,2.75,2.0625
197,2.875,2.5625,2.6875,2.9375,3.125,2.3125
198,2.1875,2.125,2.875,2.8125,2.4375,2.3125
199,2.75,3.25,2.5,2.0625,2.5,3.0625
200,1.9375,3.0,2.5625,2.8125,3.0,2.625
